title,start_date_f,end_date_f,lat,lng,address,description,tags,source
Film Screening: &quot;In The Game&quot;,2015-11-17T00:00:00Z,2015-11-17T02:00:00Z,41.938837,-87.754554,"5108 W. Belmont Avenue, Chicago, IL 60641","<img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/a6cc0dae4cbfe62ec006e193d1b07d64/inthegame-fence-resized.jpg"" alt="""" style=""margin: auto; display: block;"">Join us for a screening of the new documentary film from Kartemquin Films, <a href=""https://www.kartemquin.com/films/in-the-game/""><em>In The Game</em></a>. ",[],library
Family Crochet Program,2015-11-17T00:00:00Z,2015-11-17T01:00:00Z,41.909437,-87.768889,"5724 W. North Avenue, Chicago, IL 60639","Join Ms. Freeman, the crochet instructor, and learn to crochet, improve your technique and create something new. Meet new friends, chat and have fun! For families age 7 and up.",[],library
Superhero Audiobooks,2015-11-17T21:00:00Z,2015-11-18T00:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608",Play games that inspire storytelling and create your very own audiobook.,[],library
Teen Gamers,2015-11-17T22:00:00Z,2015-11-17T23:00:00Z,41.8943707,-87.7064607,"733 N. Kedzie Avenue, Chicago, IL 60612",The library has games! Hang out with your friends after school and play card games and board games. Teens can play video games on a PlayStation 3 or a Nintendo DS.,[],library
YOUmedia Podcast Network,2015-11-17T22:00:00Z,2015-11-18T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Do you want to be heard? Join us to create your own podcast or radio series. Learn how to record, produce and edit your own show.",[],library
STREAMing Minds At Work,2015-11-17T22:30:00Z,2015-11-18T01:30:00Z,41.864363,-87.709759,"3353 W. 13th Street, Chicago, IL 60623","Working with The <em>STREAM</em> Labs and Dr. Lynne Muhammad, an ISBE certified science teacher at Whitney M. Young High School, students, <strong>grades 5-12</strong>, will merge core academic skills to research, design and present quality and competitive, inquiry-based, student-driven science fair projects. ",[],library
Book Buddies,2015-11-17T22:30:00Z,2015-11-18T00:00:00Z,41.7623,-87.6005,"1000 E. 73rd Street, Chicago, IL 60619","Teen mentors and elementary students team up for partner reading, games, and a healthy snack.",[],library
YOUmedia Fashion,2015-11-17T23:00:00Z,2015-11-18T01:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Do you have a sense of style? Do you like to accessorize or make your own clothes? Join us to learn the basics of sewing, pattern making, CosPlay, deconstruction and much more and get certified to use a sewing machine!",[],library
Photo &amp; Video,2015-11-17T23:00:00Z,2015-11-18T00:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Explore the creative possibilities a pro-level camera can offer in video and photography. From there, you can explore a range of options - from music videos to narrative and experimental shorts in video, to portrait, conceptual and documentary styles in photography. Learn technical skills as well as artistic concepts and principles that will lead to the most unique and creative ways to capture people, places, topics, thoughts and emotions.",[],library
Ladder Up College Knowledge Workshop Series:  Writing Concise and Creative Personal Statements,2015-11-17T23:30:00Z,2015-11-18T00:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605",This workshop will take students through a step-by-step demonstration of writing concise and creative personal statements for college or scholarship applications. ,[],library
YOUmedia Open Hours,2015-11-18T21:00:00Z,2015-11-18T23:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",[],library
Teacher in the Library,2015-11-18T21:00:00Z,2015-11-19T00:00:00Z,41.971603,-87.660172,"1226 W. Ainslie Street, Chicago, IL 60640",Ms. Stephanie will help elementary and high school students with their homework every Wednesday. No appointment necessary.,[],library
Crafternoon Wednesdays,2015-11-18T22:00:00Z,2015-11-18T23:00:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632",Drop in for arts and crafts on Wednesday afternoons! No registration is necessary. Ages 6+. Younger children are welcome to participate with caregivers. ,[],library
Underground Feedback Stereo,2015-11-18T22:00:00Z,2015-11-18T23:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",[],library
Art Technique and Concept,2015-11-18T22:30:00Z,2015-11-19T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Work with our artists to learn and improve skills in art and graphic design. Get hands on with pencils, paint, tablets, and printing, and design with Photoshop and Illustrator. Experiment with how art can communicate your ideas, feelings and viewpoints to the world!",[],library
The Absolutely True Diary Of A Part-Time Indian,2015-11-18T23:00:00Z,2015-11-19T00:30:00Z,41.720915,-87.642915,"9525 S. Halsted Street, Chicago, IL 60628","In <a id=""ember15220"" href=""/item/show/2219210081"" data-add-title-link=""2219210081"">The Absolutely True Diary of A Part-time Indian</a>, Arnold Spirit ""Junior"", a talented cartoonist and writer growing up on the Spokane Indian Reservation, makes a fateful decision to attend an all-white farm town high school where the only other Indian is the school mascot. He faces trouble fitting in with his white peers while he is also the target of bullies and ridicule back on the rez, adding up to a nuanced view of culture, identity, and community. Little, Brown Books For Young Readers, 2009. (Ages 12 &amp; Up)",[],library
F.L.O.W. Open Mic,2015-11-18T23:30:00Z,2015-11-19T01:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Perform poetry, music, dance, comedy and more in YOUmedia's very own open mic night. Experiment with a wide variety of media, as well as recording it all live. Come early to get your name on the performance list and start working on your stage presence. Fresh.Lyrics.On.Wednesdays.",[],library
Family Game Night,2015-11-19T00:00:00Z,2015-11-19T01:00:00Z,41.881111,-87.679283,"6 S. Hoyne Avenue, Chicago, IL 60612","An hour-long game night for kids, teens and their parents and friends.  We will provide a variety of board games and puzzles the whole family is sure to enjoy!",[],library
A Hauntingly Good Evening with Ursual Bielski,2015-11-19T00:00:00Z,2015-11-19T01:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605",Join us for a lecture by famed Chicago ghostlore expert Ursula Bielski.  She will present a program about Chicago area cemeteries and will have books available for signing.,[],library
Home School Hang Out,2015-11-19T19:30:00Z,2015-11-19T21:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Calling all Chicagoland home school teens. We make web shows. We design objects for 3D printers and vinyl cutters. We paint and draw. We play games and go on field trips. If you are interested in doing these things, you are interested in the Home School Group.",[],library
Teen Game Room,2015-11-19T21:00:00Z,2015-11-19T23:00:00Z,41.895745,-87.668496,"1625 W. Chicago Avenue, Chicago, IL 60622","Unwind, relax and hang out with friends over some board games and video games!",[],library
â€‹Digital Design,2015-11-19T21:00:00Z,2015-11-20T00:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Digital Design using Photoshop, Illustrator and other cool applications.",[],library
