black1,red1,strike1,black2,red2,strike2,title,start_date_f,end_date_f,lat,lng,address,description,tags,source
0,0,0,0,0,0,Introduction to Video &amp; Photography,2015-08-01T19:00:00Z,2015-08-01T20:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Take your knowledge of video and photography to a new level by planning a solo or group trip to a place of your choice. The trip will require research into a location, a theme, other artists, and planning, but the results will be totally unique!",art/entertainment,library
0,0,0,0,1,0,Non-Fiction Book Club: Sin in the Second City,2015-08-01T19:00:00Z,2015-08-01T20:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Join us for a discussion of Karen Abbott's title <a id=""ember6440"" data-add-title-link=""2191889081"" href=""/item/show/2191889081"" style=""line-height: 1.6em;"">Sin in the Second City</a><em style=""line-height: 1.6em; background-color: initial;"">.</em>",art/entertainment,library
0,0,0,0,0,0,Electronics 101,2015-08-03T18:00:00Z,2015-08-03T19:00:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632","Ever wondered how a light switch works? Or why a bird can sit on a power line without getting shocked? You can get the answers and start making your own basic electronics in just a few minutes! Every Monday through August 24, we'll have a drop-in, hands-on workshop for kids and teens.",art/entertainment,library
0,1,0,0,0,0,Lunch Bus,2015-08-03T18:30:00Z,2015-08-03T19:00:00Z,41.830263,-87.673465,"1915 W. 35th Street , Chicago, IL 60609",The Greater Chicago Food Depository's Summer Lunch Bus brings healthy meals to children 18 and under Monday through Friday from June 22 to September 4 (Except July 3rd).  All meals must be eaten on-site.,art/entertainment,library
0,0,0,0,0,0,YOUmedia Maker Monday ,2015-08-03T19:00:00Z,2015-08-03T23:00:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609",Drop in for a new maker activity every week. ,art/entertainment,library
0,0,0,0,0,0,Teen Reading Cafe,2015-08-03T19:00:00Z,2015-08-03T19:30:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609", Work on your summer reading a bit at a time over a tasty beverage.,art/entertainment,library
0,0,0,0,0,0,YOUmedia Open Hours,2015-08-03T20:00:00Z,2015-08-03T22:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",art/entertainment,library
0,0,0,0,0,0,Introduction to Photography &amp; Video,2015-08-03T21:00:00Z,2015-08-03T22:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Take your knowledge of video and photography to a new level by planning a solo or group trip to a place of your choice. The trip will require research into a location, a theme, other artists, and planning, but the results will be totally unique!",art/entertainment,library
0,0,0,0,0,0,Get Wreckt,2015-08-03T21:00:00Z,2015-08-03T22:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Interested in engineering, taking apart objects to see how they work and creating something new from scratch? Then join us for our Get Wreckt workshop to destroy old electronic equipment and build a functional product.",art/entertainment,library
0,0,0,0,0,0,Celebrate Our Space,2015-08-03T21:30:00Z,2015-08-03T23:30:00Z,41.889163,-87.765762,"5615 W. Race Avenue, Chicago, IL 60644","Celebrate the end of summer and check out our exhibit of creations made throughout the summer, take a selfie or have a photo taken with the teen galaxy.",art/entertainment,library
0,0,0,0,0,0,Code Your Name in a Necklace,2015-08-03T21:30:00Z,2015-08-03T23:30:00Z,41.778837,-87.723538,"4020 W. 63rd Street, Chicago, IL 60629",Learn how to code your name into a necklace with beads using binary code.,art/entertainment,library
0,0,0,0,0,0,Short Films Screening: Best of Black Harvest Film Festival,2015-08-03T22:00:00Z,2015-08-03T23:30:00Z,41.738396,-87.702283,"8530 S. Kedzie Avenue, Chicago, IL 60652",<strong>Bathroom Attendant </strong>- A charming bathroom attendant at risk of losing his job due to new management teaches us that sometimes there's more to a job than just tending to the needs of customers.,art/entertainment,library
0,0,0,0,0,0,Maker Lab Open Studio,2015-08-03T23:00:00Z,2015-08-04T00:00:00Z,41.738396,-87.702283,"8530 S. Kedzie Avenue, Chicago, IL 60652","Hack and make your own gadgets or other technology with our littleBits, Arduino boards and junk computer parts. What you make is up to your imagination!",art/entertainment,library
0,0,0,0,0,0,Teen Jr. Science CafÍ© ,2015-08-04T18:00:00Z,2015-08-04T19:00:00Z,41.936689,-87.786083,"3104 N. Narragansett Avenue, Chicago, IL 60634","<img src=""https://chipublib.bibliocommons.com/events/images/full/2079d59e693d265a09dbe020b70f1c3b/Griffith_Theanne MSI.jpg"" unselectable=""on"">",entertainment,library
0,0,0,0,0,0,YOUmedia Gamer Tuesday,2015-08-04T19:00:00Z,2015-08-04T23:00:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609",Play and design video games. ,entertainment,library
0,0,0,0,0,0,Teen Reading Cafe,2015-08-04T19:00:00Z,2015-08-04T19:30:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609", Work on your summer reading a bit at a time over a tasty beverage.,art/entertainment,library
